VGM to MIDI conversion process started.
Pos: 0x3B7, Cmd: 0xBC
Pos: 0x3BA, Cmd: 0x74
Pos: 0x3BB, Cmd: 0xBC
Pos: 0x3BE, Cmd: 0x75
Pos: 0x3BF, Cmd: 0xBC
Pos: 0x3C2, Cmd: 0x73
Pos: 0x3C3, Cmd: 0xBC
Pos: 0x3C6, Cmd: 0x71
Pos: 0x3C7, Cmd: 0xBC
Pos: 0x3CA, Cmd: 0x61
Pos: 0x3CD, Cmd: 0xBC
Pos: 0x3D0, Cmd: 0x74
Pos: 0x3D1, Cmd: 0xBC
Pos: 0x3D4, Cmd: 0x74
Pos: 0x3D5, Cmd: 0xBC
Pos: 0x3D8, Cmd: 0x72
Pos: 0x3D9, Cmd: 0xBC
Pos: 0x3DC, Cmd: 0x70
Pos: 0x3DD, Cmd: 0xBC
Pos: 0x3E0, Cmd: 0x61
Pos: 0x3E3, Cmd: 0xBC
Pos: 0x3E6, Cmd: 0x75
Pos: 0x3E7, Cmd: 0xBC
Pos: 0x3EA, Cmd: 0x74
Pos: 0x3EB, Cmd: 0xBC
Pos: 0x3EE, Cmd: 0x73
Pos: 0x3EF, Cmd: 0xBC
Pos: 0x3F2, Cmd: 0x71
Pos: 0x3F3, Cmd: 0xBC
Pos: 0x3F6, Cmd: 0x61
Pos: 0x3F9, Cmd: 0xBC
Pos: 0x3FC, Cmd: 0x74
Pos: 0x3FD, Cmd: 0xBC
Pos: 0x400, Cmd: 0x74
Pos: 0x401, Cmd: 0xBC
Pos: 0x404, Cmd: 0x73
Pos: 0x405, Cmd: 0xBC
Pos: 0x408, Cmd: 0x70
Pos: 0x409, Cmd: 0xBC
Pos: 0x40C, Cmd: 0x61
Pos: 0x40F, Cmd: 0xBC
Pos: 0x412, Cmd: 0x74
Pos: 0x413, Cmd: 0xBC
Pos: 0x416, Cmd: 0x75
Pos: 0x417, Cmd: 0xBC
Pos: 0x41A, Cmd: 0x73
Pos: 0x41B, Cmd: 0xBC
Pos: 0x41E, Cmd: 0x71
Pos: 0x41F, Cmd: 0xBC
Pos: 0x422, Cmd: 0x61
Pos: 0x425, Cmd: 0xBC
Pos: 0x428, Cmd: 0x74
Pos: 0x429, Cmd: 0xBC
Pos: 0x42C, Cmd: 0x74
Pos: 0x42D, Cmd: 0xBC
Pos: 0x430, Cmd: 0x73
Pos: 0x431, Cmd: 0xBC
Pos: 0x434, Cmd: 0x70
Pos: 0x435, Cmd: 0xBC
Pos: 0x438, Cmd: 0x61
Pos: 0x43B, Cmd: 0xBC
Pos: 0x43E, Cmd: 0x75
Pos: 0x43F, Cmd: 0xBC
Pos: 0x442, Cmd: 0xBC
Pos: 0x445, Cmd: 0x74
Pos: 0x446, Cmd: 0xBC
Pos: 0x449, Cmd: 0x74
Pos: 0x44A, Cmd: 0xBC
Pos: 0x44D, Cmd: 0x75
Pos: 0x44E, Cmd: 0xBC
Pos: 0x451, Cmd: 0xBC
Pos: 0x454, Cmd: 0x70
Pos: 0x455, Cmd: 0xBC
Pos: 0x458, Cmd: 0x72
Pos: 0x459, Cmd: 0xBC
Pos: 0x45C, Cmd: 0x78
Pos: 0x45D, Cmd: 0xC6
Pos: 0x461, Cmd: 0xC6
Pos: 0x465, Cmd: 0xC6
Pos: 0x469, Cmd: 0xC6
Pos: 0x46D, Cmd: 0xC6
Pos: 0x471, Cmd: 0xC6
Pos: 0x475, Cmd: 0xC6
Pos: 0x479, Cmd: 0xC6
Pos: 0x47D, Cmd: 0xC6
Pos: 0x481, Cmd: 0xC6
Pos: 0x485, Cmd: 0xC6
Pos: 0x489, Cmd: 0xC6
Pos: 0x48D, Cmd: 0xC6
Pos: 0x491, Cmd: 0xC6
Pos: 0x495, Cmd: 0xC6
Pos: 0x499, Cmd: 0xC6
Pos: 0x49D, Cmd: 0x72
Pos: 0x49E, Cmd: 0xBC
Pos: 0x4A1, Cmd: 0xBC
Pos: 0x4A4, Cmd: 0xBC
Pos: 0x4A7, Cmd: 0x70
Pos: 0x4A8, Cmd: 0xBC
Pos: 0x4AB, Cmd: 0x61
Pos: 0x4AE, Cmd: 0xBC
Pos: 0x4B1, Cmd: 0x74
Pos: 0x4B2, Cmd: 0xBC
Pos: 0x4B5, Cmd: 0x75
Pos: 0x4B6, Cmd: 0xBC
