Starting command dump from offset 0xe0
0x0000037c: 0x0000037d: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00000380: 0x00000381: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x00000384: 0x00000385: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x00000388: 0x0000038b: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x0000038e: 0x0000038f: 0xbc (WS Write) - Port: 0x9, Val: 0x44
0x00000392: 0x00000393: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00000396: 0x00000397: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x0000039a: 0x0000039b: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x0000039e: 0x000003a1: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x000003a4: 0x000003a5: 0xbc (WS Write) - Port: 0x9, Val: 0x44
0x000003a8: 0x000003a9: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x000003ac: 0x000003ad: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x000003b0: 0x000003b1: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x000003b4: 0x000003b7: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x000003ba: 0x000003bb: 0xbc (WS Write) - Port: 0x9, Val: 0x44
0x000003be: 0x000003bf: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x000003c2: 0x000003c3: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x000003c6: 0x000003c7: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x000003ca: 0x000003cd: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x000003d0: 0x000003d1: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000003d4: 0x000003d5: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000003d8: 0x000003d9: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x000003dc: 0x000003dd: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x000003e0: 0x000003e3: 0xbc (WS Write) - Port: 0x8, Val: 0x88
0x000003e6: 0x000003e7: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000003ea: 0x000003eb: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000003ee: 0x000003ef: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x000003f2: 0x000003f3: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x000003f6: 0x000003f9: 0xbc (WS Write) - Port: 0x8, Val: 0x88
0x000003fc: 0x000003fd: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x00000400: 0x00000401: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x00000404: 0x00000405: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x00000408: 0x00000409: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x0000040c: 0x0000040f: 0xbc (WS Write) - Port: 0x8, Val: 0x88
0x00000412: 0x00000413: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x00000416: 0x00000417: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x0000041a: 0x0000041b: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x0000041e: 0x0000041f: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x00000422: 0x00000425: 0xbc (WS Write) - Port: 0x8, Val: 0x88
0x00000428: 0x00000429: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x0000042c: 0x0000042d: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x00000430: 0x00000431: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x00000434: 0x00000435: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x00000438: 0x0000043b: 0xbc (WS Write) - Port: 0x8, Val: 0x99
0x0000043e: 0x0000043f: 0xbc (WS Write) - Port: 0x0, Val: 0xb9
0x00000442: 0xbc (WS Write) - Port: 0x1, Val: 0x6
0x00000445: 0x00000446: 0xbc (WS Write) - Port: 0x9, Val: 0x55
